id,image,gt_bbox,pred_bbox,iou,raw_answer,status
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_86_48,S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_86_48.jpg,"[0.0, 0.55, 0.2, 0.98]","[0.0, 0.0, 0.99, 0.99]",0.08774614835220894,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_66_84,S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_66_84.jpg,"[0.0, 0.0, 1.0, 1.0]","[0.59, 0.42, 0.69, 0.56]",0.014000000000000004,[0.59 0.42 0.69 0.56],success
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_39_88,S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_39_88.jpg,"[0.0, 0.73, 0.41, 1.0]","[0.0, 0.0, 1.0, 0.99]",0.10723267276933911,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20180506T105029_N9999_R051_T31UER_83_12,S2B_MSIL2A_20180506T105029_N9999_R051_T31UER_83_12.jpg,"[0.58, 0.89, 0.91, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.03355704697986577,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180526T100031_N9999_R122_T34WFU_81_38,S2A_MSIL2A_20180526T100031_N9999_R122_T34WFU_81_38.jpg,"[0.0, 0.0, 0.9, 0.43]","[0.34, 0.16, 0.44, 0.24]",0.020671834625322988,"[0.34 0.16, 0.44 0.24]",success
S2B_MSIL2A_20171219T095409_N9999_R079_T33TWN_89_72,S2B_MSIL2A_20171219T095409_N9999_R079_T33TWN_89_72.jpg,"[0.23, 0.0, 1.0, 0.51]","[0.0, 0.0, 0.99, 0.99]",0.3934226552984165,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_37_12,S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_37_12.jpg,"[0.45, 0.0, 0.66, 0.08]","[0.0, 0.0, 0.5, 0.99]",0.00787711697518708,"[0.0 0.0, 0.5 0.99]",success
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_13_89,S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_13_89.jpg,"[0.0, 0.9, 0.22, 1.0]","[0.09, 0.96, 0.99, 0.99]",0.0864745011086475,[0.09 0.96 0.99 0.99],success
S2A_MSIL2A_20170818T103021_N9999_R108_T32TMT_07_82,S2A_MSIL2A_20170818T103021_N9999_R108_T32TMT_07_82.jpg,"[0.0, 0.43, 0.14, 0.8]","[0.0, 0.0, 0.99, 0.99]",0.0528517498214468,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_50_81,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_50_81.jpg,"[0.29, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.695015545080734,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_04_83,S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_04_83.jpg,"[0.0, 0.86, 0.59, 1.0]","[0.0, 0.0, 1.0, 0.99]",0.07701576463500352,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_79_08,S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_79_08.jpg,"[0.48, 0.9, 0.7, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.02015677491601343,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180201T093219_N9999_R136_T34TEP_15_81,S2B_MSIL2A_20180201T093219_N9999_R136_T34TEP_15_81.jpg,"[0.85, 0.01, 1.0, 0.34]","[0.0, 0.0, 0.99, 0.99]",0.04697986577181208,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170924T093019_N9999_R136_T35UMA_06_61,S2B_MSIL2A_20170924T093019_N9999_R136_T35UMA_06_61.jpg,"[0.52, 0.38, 1.0, 0.88]","[0.77, 0.61, 0.99, 0.79]",0.165,[0.77 0.61 0.99 0.79],success
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_72_03,S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_72_03.jpg,"[0.85, 0.89, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.014247913698351312,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180508T104031_N9999_R008_T31UGS_05_74,S2A_MSIL2A_20180508T104031_N9999_R008_T31UGS_05_74.jpg,"[0.45, 0.85, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.07659574468085108,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_05_34,S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_05_34.jpg,"[0.0, 0.0, 0.45, 0.4]","[0.21, 0.15, 0.39, 0.29]",0.13999999999999999,[0.21 0.15 0.39 0.29],success
S2B_MSIL2A_20171219T095409_N9999_R079_T33TWN_84_19,S2B_MSIL2A_20171219T095409_N9999_R079_T33TWN_84_19.jpg,"[0.92, 0.3, 1.0, 0.6]","[0.0, 0.0, 1.0, 0.99]",0.02424242424242423,[0.0 0.0 1.0 0.99],success
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_12_42,S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_12_42.jpg,"[0.25, 0.0, 1.0, 0.46]","[0.0, 0.0, 0.99, 0.99]",0.3456890423479233,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180422T093029_N9999_R136_T34TEQ_78_81,S2B_MSIL2A_20180422T093029_N9999_R136_T34TEQ_78_81.jpg,"[0.85, 0.0, 1.0, 0.25]","[0.0, 0.0, 0.99, 0.0]",0.0,"[0.0 0.0, 0.99 0.0]",success
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_19_82,S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_19_82.jpg,"[0.3, 0.19, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.5547181187820319,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180529T115401_N9999_R023_T29UNB_83_89,S2A_MSIL2A_20180529T115401_N9999_R023_T29UNB_83_89.jpg,"[0.0, 0.0, 0.73, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.7319222199716428,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_12_66,S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_12_66.jpg,"[0.08, 0.82, 0.26, 1.0]","[0.17, 0.0, 0.99, 0.99]",0.01845819761129208,"[0.17 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_90_50,S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_90_50.jpg,"[0.0, 0.0, 0.87, 0.6]","[0.0, 0.0, 0.99, 0.99]",0.5325987144168963,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_03_25,S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_03_25.jpg,"[0.0, 0.49, 0.51, 1.0]","[0.21, 0.0, 0.21, 0.1]",0.0,"[0.21 0.0, 0.21 0.1]",success
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_22_12,S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_22_12.jpg,"[0.0, 0.22, 0.11, 0.4]","[0.0, 0.0, 0.99, 0.99]",0.020202020202020204,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_39_90,S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_39_90.jpg,"[0.0, 0.0, 0.34, 0.88]","[0.0, 0.0, 0.99, 0.99]",0.3052749719416386,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_05_33,S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_05_33.jpg,"[0.15, 0.0, 1.0, 0.58]","[0.0, 0.0, 0.99, 0.99]",0.49416776549345776,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_82_39,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_82_39.jpg,"[0.15, 0.15, 1.0, 0.65]","[0.0, 0.0, 0.99, 0.99]",0.4263526545528372,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180507T093041_N9999_R136_T35UMA_25_07,S2A_MSIL2A_20180507T093041_N9999_R136_T35UMA_25_07.jpg,"[0.0, 0.15, 0.48, 0.99]","[0.0, 0.0, 0.99, 0.99]",0.411386593204775,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_38_01,S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_38_01.jpg,"[0.0, 0.25, 1.0, 1.0]","[0.52, 0.0, 0.74, 0.99]",0.20223602484472045,"[0.52 0.0, 0.74 0.99]",success
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_82_77,S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_82_77.jpg,"[0.9, 0.0, 1.0, 0.25]","[0.0, 0.0, 1.0, 0.99]",0.02525252525252525,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_88_50,S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_88_50.jpg,"[0.0, 0.01, 1.0, 1.0]","[0.0, 0.0, 1.0, 0.99]",0.98,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_36_09,S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_36_09.jpg,"[0.0, 0.74, 0.34, 1.0]","[0.0, 0.0, 1.0, 0.99]",0.08556472719951681,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_45_87,S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_45_87.jpg,"[0.0, 0.42, 0.14, 0.8]","[0.0, 0.0, 0.99, 0.99]",0.054280175492296724,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_50_86,S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_50_86.jpg,"[0.0, 0.51, 0.77, 0.93]","[0.0, 0.0, 0.99, 0.99]",0.32996632996632996,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNH_86_08,S2B_MSIL2A_20180525T094029_N9999_R036_T35VNH_86_08.jpg,"[0.91, 0.15, 1.0, 0.37]","[0.0, 0.0, 1.0, 0.99]",0.019999999999999993,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20171107T105229_N9999_R051_T31UER_17_01,S2B_MSIL2A_20171107T105229_N9999_R051_T31UER_17_01.jpg,"[0.05, 0.8, 0.24, 1.0]","[0.16, 0.92, 0.92, 1.0]",0.06926406926406924,[0.16 0.92 0.92 1.0],success
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_03_83,S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_03_83.jpg,"[0.0, 0.3, 1.0, 1.0]","[0.0, 0.0, 1.0, 0.99]",0.69,"[0.0 0.0, 1.0 0.99]",success
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_07_68,S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_07_68.jpg,"[0.0, 0.03, 0.58, 0.52]","[0.0, 0.0, 0.24, 0.28]",0.20590253946465342,"[0.0 0.0, 0.24 0.28]",success
